schedule_date,schedule_season,schedule_week,team_home,team_away,team_favorite_id,spread_favorite,over_under_line,weather_temperature,weather_wind_mph,score_home,score_away,stadium_neutral,home_favorite,away_favorite,favorite_win,favorite_cover,over,elo1_pre,elo2_pre,elo_difference
9/23/1979,1979,4,NE,LAC,NE,-3,44,55,14,27,21,0,1,0,1,1,1,1578.843,1612.167,33.324
9/23/1979,1979,4,NYG,PHI,PHI,-5,37,61,16,13,17,0,0,1,1,0,0,1378.446,1529.374,150.928
9/23/1979,1979,4,PIT,IND,PIT,-14,38,54,10,17,13,0,1,0,1,0,0,1713.181,1375.502,337.679
9/23/1979,1979,4,SF,NO,PICK,0,42,62,9,21,30,0,0,0,1,1,1,1355.534,1391.699,36.165
9/23/1979,1979,4,ARI,,ARI,-3,39,61,8,7,17,0,1,0,0,0,0,,,0
9/23/1979,1979,4,TB,LAR,LAR,-3,35,82,8,21,6,0,0,1,0,0,0,1465.904,1570.953,105.049
9/24/1979,1979,4,CLE,DAL,DAL,-3,40,56,8,26,7,0,0,1,0,0,0,1520.594,1684.43,163.836
9/30/1979,1979,5,ATL,,ATL,-3,37,72,8,7,16,0,1,0,0,0,0,,,0
9/30/1979,1979,5,IND,BUF,IND,-2,42,71,7,13,31,0,1,0,0,0,1,1373.063,1463.785,90.722
9/30/1979,1979,5,CHI,TB,CHI,-1,34,67,9,13,17,0,1,0,0,0,0,1500.22,1497.385,2.835
9/30/1979,1979,5,DAL,CIN,DAL,-10,40,79,5,38,13,0,1,0,1,1,1,1644.374,1418.481,225.893
9/30/1979,1979,5,DET,MIN,DET,-3,39,72,0,10,13,0,1,0,0,0,0,1422.721,1475.09,52.369
9/30/1979,1979,5,TEN,CLE,TEN,-6,39,72,0,31,10,0,1,0,1,1,1,1581.962,1560.65,21.312
9/30/1979,1979,5,LAR,ARI,LAR,-6,38,65,10,21,0,0,1,0,1,1,0,1539.473,1468.399,71.074
9/30/1979,1979,5,NO,NYG,NO,-6,39,72,0,24,14,0,1,0,1,1,0,1416.963,1366.711,50.252
9/30/1979,1979,5,NYJ,MIA,MIA,-4,43,67,13,33,27,0,0,1,0,0,1,1445.127,1630.551,185.424
9/30/1979,1979,5,OAK,DEN,DEN,-3,36,64,8,27,3,0,0,1,0,0,0,1476.473,1591.503,115.03
9/30/1979,1979,5,PHI,PIT,PIT,-4,36,68,12,17,14,0,0,1,0,0,0,1541.109,1715.62,174.511
9/30/1979,1979,5,LAC,SF,LAC,-13,44,72,11,31,9,0,1,0,1,1,0,1594.729,1330.271,264.458
9/30/1979,1979,5,SEA,KC,SEA,-6,43,72,0,6,24,0,1,0,0,0,0,1474.758,1444.222,30.536
10/1/1979,1979,5,GB,NE,NE,-7,39,52,7,27,14,0,0,1,0,0,1,1421.884,1596.282,174.398
10/7/1979,1979,6,ATL,GB,ATL,-6,35,62,13,25,7,0,1,0,1,1,0,1469.11,1458.122,10.988
10/7/1979,1979,6,IND,NYJ,NYJ,-3,42,57,14,10,8,0,0,1,0,0,0,1346.11,1472.575,126.465
10/7/1979,1979,6,BUF,CHI,BUF,-5,40,50,21,0,7,0,1,0,0,0,0,1490.738,1480.412,10.326
10/7/1979,1979,6,CIN,KC,PICK,0,38,49,14,7,10,0,0,0,1,1,0,1409.398,1483.26,73.862
10/7/1979,1979,6,CLE,PIT,PIT,-4,36,48,17,35,51,0,0,1,1,1,1,1538.148,1696.578,158.43
10/7/1979,1979,6,DEN,LAC,LAC,-1,37,67,11,7,0,0,0,1,0,0,0,1553.855,1601.846,47.991
10/7/1979,1979,6,TEN,ARI,TEN,-7,39,72,0,17,24,0,1,0,0,0,1,1604.465,1450.141,154.324
10/7/1979,1979,6,MIN,DAL,DAL,-7,39,43,5,20,36,0,0,1,1,1,1,1489.54,1653.457,163.917
10/7/1979,1979,6,NE,DET,NE,-13,40,56,13,24,17,0,1,0,1,0,1,1560.044,1408.271,151.773
10/7/1979,1979,6,NO,LAR,LAR,-4,39,72,0,17,35,0,0,1,1,1,1,1432.455,1557.731,125.276
10/7/1979,1979,6,NYG,TB,TB,-6,34,60,16,17,14,0,0,1,0,0,0,1351.219,1517.193,165.974
10/7/1979,1979,6,PHI,,PHI,-1,37,57,14,28,17,0,1,0,1,1,1,,,0
10/7/1979,1979,6,SF,SEA,SEA,-5,43,61,14,24,35,0,0,1,1,1,1,1323.153,1435.72,112.567
10/8/1979,1979,6,OAK,MIA,MIA,-1,39,63,12,13,3,0,0,1,0,0,0,1514.121,1603.103,88.982
10/14/1979,1979,7,IND,TEN,TEN,-6,36,46,13,16,28,0,0,1,1,1,1,1359.391,1568.458,209.067
10/14/1979,1979,7,CHI,NE,NE,-4,37,45,9,7,27,0,0,1,1,1,0,1506.54,1568.489,61.949
10/14/1979,1979,7,CIN,PIT,PIT,-10,39,40,7,34,10,0,0,1,0,0,1,1395.943,1716.619,320.676
10/14/1979,1979,7,CLE,,CLE,-4,34,44,12,9,13,0,1,0,0,0,0,,,0
10/14/1979,1979,7,DAL,LAR,DAL,-3,39,67,10,30,6,0,1,0,1,1,0,1673.053,1581.467,91.586
10/14/1979,1979,7,GB,DET,GB,-4,36,41,10,24,16,0,1,0,1,1,1,1435.788,1399.826,35.962
10/14/1979,1979,7,KC,DEN,DEN,-1,34,47,12,10,24,0,0,1,1,1,0,1496.715,1573.48,76.765
10/14/1979,1979,7,MIA,BUF,MIA,-6,40,74,12,17,7,0,1,0,1,1,0,1577.189,1464.61,112.579
10/14/1979,1979,7,NYG,SF,NYG,-4,38,49,18,32,16,0,1,0,1,1,1,1369.857,1302.139,67.718
10/14/1979,1979,7,OAK,ATL,OAK,-10,37,68,9,50,19,0,1,0,1,1,1,1540.035,1491.444,48.591
10/14/1979,1979,7,LAC,SEA,LAC,-10,44,72,8,20,10,0,1,0,1,0,0,1582.221,1456.734,125.487
10/14/1979,1979,7,ARI,PHI,ARI,-3,38,47,9,20,24,0,1,0,0,0,1,1486.147,1579.104,92.957
10/14/1979,1979,7,TB,NO,TB,-8,38,75,11,14,42,0,1,0,0,0,1,1498.556,1408.719,89.837
10/15/1979,1979,7,NYJ,MIN,NYJ,-4,42,50,13,14,7,0,1,0,1,1,0,1459.295,1469.944,10.649
10/21/1979,1979,8,BUF,IND,BUF,-6,39,71,18,13,14,0,1,0,0,0,0,1452.868,1344.764,108.104
10/21/1979,1979,8,CLE,CIN,CLE,-3,39,71,18,28,27,0,1,0,1,0,1,1499.203,1455.188,44.015
10/21/1979,1979,8,DAL,ARI,DAL,-10,39,81,24,22,13,0,1,0,1,0,0,1690.408,1471.531,218.877
